Expiry	Put 0.100000	Put 0.250000	ATM	Call 0.250000	Call 0.100000	
1.02	1.09204586737	1.25493246299	1.42069364767	1.60710537849	1.84034179422	
1.03	1.09102774708	1.25446877027	1.42085206385	1.60807207714	1.8424924624	
1.04	1.09001556097	1.25400782678	1.42101049769	1.60903640646	1.84463827087	
1.05	1.08900923359	1.2535495989	1.42116894919	1.60999839549	1.84677928363	
1.06	1.08800869108	1.25309405368	1.42132741836	1.61095807269	1.84891556344	
1.07	1.08701386105	1.25264115881	1.4214859052	1.611915466	1.85104717184	
1.08	1.08602467255	1.25219088264	1.42164440972	1.61287060282	1.85317416917	
1.09	1.08504105608	1.2517431941	1.42180293191	1.61382351006	1.85529661461	
1.1	1.08406294349	1.25129806273	1.42196147177	1.6147742141	1.85741456621	
1.11	1.08309026796	1.25085545867	1.42212002932	1.61572274085	1.85952808094	
1.12	1.08212296398	1.2504153526	1.42227860454	1.61666911573	1.86163721469	
1.13	1.08116096732	1.24997771577	1.42243719745	1.61761336372	1.8637420223	
1.14	1.08020421495	1.24954251996	1.42259580804	1.61855550932	1.86584255759	
1.15	1.07925264508	1.24910973747	1.42275443631	1.61949557662	1.86793887343	
1.16	1.07830619704	1.24867934112	1.42291308228	1.62043358927	1.87003102169	
1.17	1.07736481133	1.24825130423	1.42307174593	1.62136957048	1.8721190533	
1.18	1.07642842956	1.24782560058	1.42323042728	1.62230354309	1.8742030183	
1.19	1.07549699441	1.24740220445	1.42338912632	1.62323552951	1.87628296582	
1.2	1.07457044959	1.24698109058	1.42354784305	1.62416555177	1.87835894411	
1.21	1.07364873988	1.24656223412	1.42370657749	1.62509363154	1.88043100059	
1.22	1.07273181103	1.24614561072	1.42386532962	1.62601979009	1.88249918185	
1.23	1.07181960976	1.2457311964	1.42402409946	1.62694404834	1.88456353365	
1.24	1.07091208377	1.24531896764	1.42418288699	1.62786642688	1.88662410098	
1.25	1.07000918165	1.24490890129	1.42434169224	1.62878694592	1.88868092806	
1.26	1.06911085293	1.24450097464	1.42450051519	1.62970562534	1.89073405834	
1.27	1.068217048	1.24409516532	1.42465935586	1.63062248472	1.89278353456	
1.28	1.0673277181	1.24369145138	1.42481821423	1.63153754328	1.89482939873	
1.29	1.06644281535	1.24328981122	1.42497709032	1.63245081996	1.89687169215	
1.3	1.06556229266	1.2428902236	1.42513598412	1.63336233336	1.89891045545	
1.31	1.06468610374	1.24249266764	1.42529489564	1.63427210181	1.90094572858	
1.32	1.06381420311	1.2420971228	1.42545382488	1.63518014333	1.90297755085	
1.33	1.06294654601	1.24170356887	1.42561277185	1.63608647565	1.90500596092	
1.34	1.06208308848	1.24131198599	1.42577173653	1.63699111624	1.90703099683	
1.35	1.06122378724	1.24092235461	1.42593071894	1.63789408227	1.90905269601	
1.36	1.06036859975	1.24053465549	1.42608971908	1.63879539065	1.91107109529	
1.37	1.05951748416	1.2401488697	1.42624873695	1.63969505804	1.91308623092	
1.38	1.0586703993	1.23976497861	1.42640777255	1.64059310083	1.91509813857	
1.39	1.05782730467	1.23938296389	1.42656682589	1.64148953517	1.91710685337	
1.4	1.05698816041	1.2390028075	1.42672589696	1.64238437694	1.91911240988	
1.41	1.05615292731	1.23862449167	1.42688498576	1.64327764181	1.92111484215	
1.42	1.05532156677	1.23824799891	1.42704409231	1.6441693452	1.92311418369	
1.43	1.0544940408	1.237873312	1.4272032166	1.64505950228	1.9251104675	
1.44	1.05367031202	1.23750041399	1.42736235863	1.64594812804	1.92710372609	
1.45	1.05285034361	1.23712928818	1.4275215184	1.64683523719	1.92909399146	
1.46	1.05203409934	1.23675991812	1.42768069592	1.64772084428	1.93108129514	
1.47	1.05122154352	1.23639228762	1.4278398912	1.64860496362	1.9330656682	
1.48	1.05041264102	1.23602638073	1.42799910422	1.64948760929	1.93504714124	
1.49	1.04960735724	1.23566218172	1.428158335	1.65036879522	1.9370257444	
1.5	1.0488056581	1.23529967511	1.42831758353	1.65124853509	1.9390015074	
1.51	1.04800751003	1.23493884564	1.42847684982	1.6521268424	1.94097445949	
1.52	1.04721287997	1.23457967828	1.42863613387	1.65300373048	1.94294462954	
1.53	1.04642173536	1.23422215821	1.42879543568	1.65387921244	1.94491204598	
1.54	1.04563404409	1.23386627084	1.42895475525	1.65475330122	1.94687673683	
1.55	1.04484977454	1.23351200175	1.42911409259	1.65562600959	1.94883872972	
1.56	1.04406889557	1.23315933678	1.42927344769	1.65649735011	1.95079805189	
1.57	1.04329137646	1.23280826194	1.42943282057	1.6573673352	1.95275473018	
1.58	1.04251718696	1.23245876343	1.42959221121	1.6582359771	1.95470879107	
1.59	1.04174629723	1.23211082767	1.42975161963	1.65910328786	1.95666026068	
1.6	1.04097867787	1.23176444125	1.42991104583	1.65996927941	1.95860916473	
1.61	1.04021429991	1.23141959095	1.4300704898	1.66083396347	1.96055552863	
1.62	1.03945313476	1.23107626374	1.43022995155	1.66169735163	1.96249937741	
1.63	1.03869515426	1.23073444676	1.43038943108	1.66255945533	1.96444073578	
1.64	1.03794033063	1.23039412734	1.43054892839	1.66342028584	1.96637962809	
1.65	1.03718863647	1.23005529296	1.43070844349	1.66427985429	1.96831607839	
1.66	1.03644004477	1.22971793129	1.43086797637	1.66513817166	1.97025011039	
1.67	1.03569452889	1.22938203016	1.43102752705	1.66599524879	1.97218174749	
1.68	1.03495206255	1.22904757755	1.43118709551	1.66685109637	1.97411101277	
1.69	1.03421261983	1.22871456162	1.43134668177	1.66770572496	1.97603792901	
1.7	1.03347617516	1.22838297068	1.43150628582	1.66855914498	1.9779625187	
1.71	1.03274270332	1.22805279319	1.43166590767	1.66941136671	1.97988480402	
1.72	1.03201217942	1.22772401776	1.43182554732	1.67026240032	1.98180480688	
1.73	1.0312845789	1.22739663315	1.43198520477	1.67111225583	1.98372254888	
1.74	1.03055987755	1.22707062827	1.43214488002	1.67196094313	1.98563805137	
1.75	1.02983805143	1.22674599218	1.43230457308	1.67280847201	1.98755133541	
1.76	1.02911907697	1.22642271406	1.43246428394	1.67365485211	1.9894624218	
1.77	1.02840293087	1.22610078325	1.43262401262	1.67450009296	1.99137133107	
1.78	1.02768959015	1.22578018921	1.4327837591	1.67534420398	1.99327808349	
1.79	1.02697903212	1.22546092154	1.43294352339	1.67618719447	1.99518269908	
1.8	1.02627123438	1.22514296997	1.43310330551	1.6770290736	1.99708519761	
1.81	1.02556617483	1.22482632436	1.43326310543	1.67786985045	1.9989855986	
1.82	1.02486383164	1.22451097469	1.43342292318	1.67870953398	2.00088392133	
1.83	1.02416418325	1.22419691108	1.43358275875	1.67954813303	2.00278018485	
1.84	1.02346720839	1.22388412376	1.43374261213	1.68038565636	2.00467440796	
1.85	1.02277288604	1.22357260307	1.43390248335	1.6812221126	2.00656660925	
1.86	1.02208119547	1.22326233949	1.43406237239	1.68205751029	2.00845680707	
1.87	1.02139211616	1.22295332361	1.43422227926	1.68289185786	2.01034501955	
1.88	1.0207056279	1.22264554613	1.43438220396	1.68372516365	2.01223126462	
1.89	1.02002171068	1.22233899785	1.43454214649	1.68455743589	2.01411555996	
1.9	1.01934034478	1.2220336697	1.43470210686	1.68538868274	2.01599792308	
1.91	1.01866151067	1.22172955272	1.43486208506	1.68621891222	2.01787837125	
1.92	1.01798518911	1.22142663803	1.4350220811	1.6870481323	2.01975692155	
1.93	1.01731136105	1.22112491689	1.43518209499	1.68787635083	2.02163359087	
1.94	1.01664000769	1.22082438064	1.43534212671	1.68870357558	2.02350839588	
1.95	1.01597111046	1.22052502073	1.43550217628	1.68952981423	2.02538135307	
1.96	1.015304651	1.2202268287	1.4356622437	1.69035507438	2.02725247873	
1.97	1.01464061117	1.21992979621	1.43582232896	1.69117936353	2.02912178898	
1.98	1.01397897303	1.21963391498	1.43598243208	1.69200268911	2.03098929974	
1.99	1.01331971889	1.21933917687	1.43614255304	1.69282505845	2.03285502675	
